system:index,Ave_Wet,CLC_STATE,Den_ID,Fire_Cat,Prec_Tree,dist2build,used,.geo
000000000000000026fb,-0.403023,2213,FP049,U,65,234.90839480430122,0.0,"{""type"":""Point"",""coordinates"":[-81.04884275337031,26.26735714873654]}"
00000000000000002724,-0.389764,2213,FP049,U,73,50.562111271347895,0.0,"{""type"":""Point"",""coordinates"":[-81.04509139999121,26.272481435984304]}"
000000000000000026ea,-0.315136,2221,FP049,U,63,1551.8769486504368,0.0,"{""type"":""Point"",""coordinates"":[-81.03255062823855,26.263170983249246]}"
00000000000000002254,0.059004,1500,FP049,U,65,3255.829927705449,0.0,"{""type"":""Point"",""coordinates"":[-81.01238598623053,26.19964873574864]}"
00000000000000000171,-0.151706,2120,FP061,A,3,210.48392238404023,0.0,"{""type"":""Point"",""coordinates"":[-80.56935650976303,25.610662438039252]}"
0000000000000000017e,-0.151706,2120,FP061,A,3,30.311565355053506,0.0,"{""type"":""Point"",""coordinates"":[-80.57018395650961,25.608764315543787]}"
00000000000000000182,-0.151706,2120,FP061,A,2,284.473682724338,0.0,"{""type"":""Point"",""coordinates"":[-80.57050172813197,25.611145428927745]}"
0000000000000000018e,-0.151706,2120,FP061,A,1,206.6457875312799,0.0,"{""type"":""Point"",""coordinates"":[-80.56867399802356,25.61211722075506]}"
00000000000000000199,-0.300087,2120,FP061,A,4,1334.8885613596442,0.0,"{""type"":""Point"",""coordinates"":[-80.57649126489093,25.578104769960078]}"
000000000000000001bd,-0.171493,2120,FP061,A,0,1652.8238261392567,0.0,"{""type"":""Point"",""coordinates"":[-80.58930018677671,25.57862090749051]}"
000000000000000001c4,-0.151706,2120,FP061,A,2,501.70657747790153,0.0,"{""type"":""Point"",""coordinates"":[-80.57001101432814,25.615648843575098]}"
000000000000000001c6,-0.202089,2120,FP061,A,2,130.00789522597339,0.0,"{""type"":""Point"",""coordinates"":[-80.55985298406534,25.609773504598245]}"
000000000000000001df,-0.265796,2120,FP061,A,0,1834.2389603209572,0.0,"{""type"":""Point"",""coordinates"":[-80.58145828641571,25.576707083572465]}"
000000000000000001e1,-0.265796,2120,FP061,A,2,1524.1323845647576,0.0,"{""type"":""Point"",""coordinates"":[-80.57838308611174,25.5770120282062]}"
000000000000000001a6,-0.25568,7000,FP061,A,26,73.06030202281528,0.0,"{""type"":""Point"",""coordinates"":[-80.55012927227446,25.609636327164406]}"
000000000000000001b4,-0.202089,7000,FP061,A,2,19.424282021483574,0.0,"{""type"":""Point"",""coordinates"":[-80.55676033972624,25.611884355612094]}"
00000000000000000173,-0.473161,2120,FP061,B,4,417.7761654439057,0.0,"{""type"":""Point"",""coordinates"":[-80.55060106337574,25.59054704188795]}"
00000000000000000187,-0.496292,2120,FP061,B,5,707.1760928916865,0.0,"{""type"":""Point"",""coordinates"":[-80.54482955314012,25.60182944181703]}"
00000000000000000190,-0.553959,2120,FP061,B,5,392.7488494181648,0.0,"{""type"":""Point"",""coordinates"":[-80.54671551755567,25.591973918769465]}"
000000000000000001a3,-0.473161,2120,FP061,B,3,1045.194849489304,0.0,"{""type"":""Point"",""coordinates"":[-80.5518455689403,25.59614944061165]}"
000000000000000001c9,-0.553959,2120,FP061,B,4,318.5831913172579,0.0,"{""type"":""Point"",""coordinates"":[-80.54652473035442,25.5901355230316]}"
0000000000000000016d,-0.538735,7000,FP061,B,2,283.778798357814,0.0,"{""type"":""Point"",""coordinates"":[-80.55197535384617,25.58917514484642]}"
00000000000000000181,-0.538735,7000,FP061,B,68,431.0256758152299,0.0,"{""type"":""Point"",""coordinates"":[-80.5554299863465,25.587948527621396]}"
0000000000000000018a,-0.473161,7000,FP061,B,4,978.5628188886293,0.0,"{""type"":""Point"",""coordinates"":[-80.55717355217377,25.593655497528463]}"
0000000000000000019e,-0.473161,7000,FP061,B,26,877.1364948902932,0.0,"{""type"":""Point"",""coordinates"":[-80.55037722795772,25.594889848185105]}"
000000000000000001bc,-0.496292,7000,FP061,B,2,864.7172257698493,0.0,"{""type"":""Point"",""coordinates"":[-80.54648602401456,25.600400206795968]}"
000000000000000001e3,-0.538735,7000,FP061,B,58,397.4805253941721,1.0,"{""type"":""Point"",""coordinates"":[-80.55544631487152,25.586204902048866]}"
